"","location","lon","lat","resolution","radiusx","radiusy","purpose","SITE_ID","location_orig","location_id"
"1","Hobart",147.3257,-42.8826,10,3000,3000,"tasmania","site_af38900f","Hobart","hobart"
"2","Kingston HQ",147.2919,-42.9866,10,3000,3000,"tasmania,base","site_0887733e","Kingston_HQ","kingston-hq"
"3","Davis Station",77.9675,-68.5767,10,3000,3000,"base,antarctica","site_88545bb7","Davis_Station","davis-station"
"4","Casey Station",110.5267,-66.2825,10,3000,3000,"base,antarctica","site_27e198c2","Casey_Station","casey-station"
"5","Casey Station 2",110.5267,-66.2825,10,5000,5000,"base,casey,antarctica,island","site_56b69fc3","Casey_Station_2","casey-station-2"
"6","Heard Island Atlas Cove",73.3868,-53.0243,10,3000,3000,"base,heard,subantarctic,island","site_b4dd8d7c","Heard_Island_Atlas_Cove","heard-island-atlas-cove"
"7","Heard Island Atlas Cove 2",73.3868,-53.0243,10,5000,5000,"base,heard,island","site_16470194","Heard_Island_Atlas_Cove_2","heard-island-atlas-cove-2"
"8","Heard Island (60m)",73.5028,-53.0914,60,24000,14000,"heard,subantarctic,island","site_0258b861","Heard_Island_60m","heard-island-60m"
"9","Heard Island Big Ben",73.5167,-53.1,10,3000,3000,"heard,subantarctic,island","site_5fa8012b","Heard_Island_Big_Ben","heard-island-big-ben"
"10","Heard Island Spit Bay",73.7189,-53.1141,10,3000,3000,"heard,subantarctic,island","site_a08f8bc3","Heard_Island_Spit_Bay","heard-island-spit-bay"
"11","Heard Island Spit Bay 2",73.7189,-53.1141,10,5000,5000,"heard,subantarctic,island","site_d6e8b9c7","Heard_Island_Spit_Bay_2","heard-island-spit-bay-2"
"12","Heard Island Compton Lagoon",73.6107,-53.0581,10,3000,3000,"heard,island","site_24a7ff8b","Heard_Island_Compton_Lagoon","heard-island-compton-lagoon"
"13","Mawson Station",62.8742,-67.6033,10,3000,3000,"base,mawson,antarctica","site_904b877d","Mawson_Station","mawson-station"
"14","Macquarie Island Station",158.9384,-54.4987,10,3000,3000,"base,macquarie,subantarctic,island,tasmania","site_d0d6907a","Macquarie_Island_Station","macquarie-island-station"
"15","Macquarie Island South",158.8252,-54.7556,10,3000,3000,"macquarie,subantarctic,island,tasmania","site_e683d544","Macquarie_Island_South","macquarie-island-south"
"16","Scullin Monolith",66.7189,-67.7935,10,3000,3000,"antarctica","site_54051ac7","Scullin_Monolith","scullin-monolith"
"17","Concordia Station",123.3322,-75.0997,10,3000,3000,"antarctica","site_4edf0e3d","Concordia_Station","concordia-station"
"18","Dome C North",122.5206,-75.3413,10,3000,3000,"base,antarctica","site_eb469588","Dome_C_North","dome-c-north"
